TAZ_ID,State,County,Town,RPA,Minority,Low_inc,Jobs30Hwy,Jobs60Trn,Retl30Hwy,Retl60Trn,HEdu20Hwy,HEdu40Trn,Heal20Hwy,Heal40Trn,TrnProdTm,TrnAttrTm,HwyProdTm,HwyAttrTm,JobsAccCmp,RetlAccCmp,HEduAccCmp,HealAccCmp,CongVMT_sqmi,TotalVMT_sqmi,TotalVHT_sqmi,CO_sqmi,NOX_sqmi,VOC_sqmi,CO2_sqmi
1,MA,Suffolk,Boston,MAPC,0.810178817,0,940902,1023588,113206,117891,107812,175024,2946.5,4443.333496,40.618427,39.725639,48.905628,50.143158,982966.8125,115589.3984,142004.7188,3707.983154,563805.0041,742584.4562,80100.89623,884.902861,38.363198,32.213349,351631.0222
2,MA,Suffolk,Boston,MAPC,0.5,0,961813,1037561,114618,119244,102922,205318,1788.5,4890.833496,35.378788,34.80621,37.205307,38.243706,1003684.688,117175.1406,159523.9688,3503.393066,2088963.99,2395222.542,134970.7409,2252.880537,110.903466,62.070632,732554.0143
3,MA,Suffolk,Boston,MAPC,0.298136646,0.333333333,979929,1055380,118646,122393,54826,212233,2776,5242.333496,35.518417,34.723782,38.812042,40.095097,1021539,120712.4063,141633.5156,4136.144531,185423.5325,317959.1888,48233.28884,520.170291,31.604089,18.89892,214060.1661
4,MA,Suffolk,Boston,MAPC,0.129032258,0.317757009,944096,1058605,114977,123392,51211,212233,2173,5242.333496,34.761337,34.721634,39.45335,38.802525,1005763.625,119508.8125,137927.6875,3825.956787,783000.5954,916190.54,111041.9329,1178.396286,57.798767,41.330474,461034.4032
5,MA,Suffolk,Boston,MAPC,0.072498502,0.332123412,829880,1018208,98724,116909,47240,174744,745,4739.333496,31.214087,31.358328,26.442324,23.37771,919547.875,107382.3516,107948.0234,2646.807617,0,48164.72222,3925.453243,60.73768,2.386638,1.743262,19427.83491
6,MA,Suffolk,Boston,MAPC,0.079981291,0.28432108,888567,1045128,106104,120842,50657,212233,833,5242.333496,29.520937,29.471395,28.71055,25.738363,962990.625,113109.9375,127464.6016,2929.043457,177232.1066,309500.6048,43884.55343,474.703174,18.909572,15.951324,172568.8841
7,MA,Suffolk,Boston,MAPC,0.107954545,0.196629213,799953,944616,95754,107495,47794,163031,745,2101.5,37.784336,37.484802,33.512779,31.048986,857442.8125,100419.9297,93589.79688,1284.080322,1530303.142,1543733.749,220467.8449,1981.065859,85.924415,73.664072,805507.9444
8,MA,Suffolk,Boston,MAPC,0.102072141,0.287001287,813837,992929,97339,113320,47794,174744,833,4455.833496,32.868515,33.020924,27.890226,25.069386,886694.9375,103840.3672,99439.58594,2306.835205,0,75.160155,6.263347,0.108091,0.004216,0.002981,34.183545
9,MA,Suffolk,Boston,MAPC,0.081060606,0.196969697,836169,972108,100171,111090,49152,174744,2173,4455.833496,33.2384,32.971878,27.503908,24.862398,896656.1875,105029.5,105035.1719,3188.765137,0,21195.27726,1795.11044,27.575829,1.344339,0.838351,9503.869611
10,MA,Suffolk,Boston,MAPC,0.079562044,0.347428571,859461,1016350,102263,116045,49152,205318,2329,5242.333496,32.782738,32.304886,32.687534,30.415644,925931.75,108102.1719,115316.5156,3563.323242,219371.3981,337671.4617,33496.61053,414.795792,16.988707,13.782206,152193.949
