"","TAZ_ID","State","County","Town","RPA","pop_pct_min","pop_pct_non-min","pop_pct_low","pop_pct_non_low","nb_Jobs60Trn","nb_Retl60Trn","nb_HEdu40Trn","nb_Heal40Trn","nb_TrnProdTm","nb_TrnAttrTm","nb_HwyProdTm","nb_HwyAttrTm","nb_CongVMT_sqmi","nb_CO_sqmi","b_Jobs60Trn","b_Retl60Trn","b_HEdu40Trn","b_Heal40Trn","b_TrnProdTm","b_TrnAttrTm","b_HwyProdTm","b_HwyAttrTm","b_CongVMT_sqmi","b_CO_sqmi"
"1",1,"MA","Suffolk","Boston","MAPC",0.810178817,0.189821183,0,1,1026852,118639,175024,4443.333496,40.90612,40.007236,48.663536,49.993011,590510.9203,938.979183,1023588,117891,175024,4443.333496,40.618427,39.725639,48.905628,50.143158,563805.0041,884.902861
"2",2,"MA","Suffolk","Boston","MAPC",0.5,0.5,0,1,1043386,120080,205318,4890.833496,35.52935,34.931656,36.787979,37.844406,2170691.406,2666.237708,1037561,119244,205318,4890.833496,35.378788,34.80621,37.205307,38.243706,2088963.99,2252.880537
"3",3,"MA","Suffolk","Boston","MAPC",0.298136646,0.701863354,0.333333333,0.666666667,1061224,124065,212233,5242.333496,35.629086,34.808441,38.431503,39.729427,194395.9173,572.415003,1055380,122393,212233,5242.333496,35.518417,34.723782,38.812042,40.095097,185423.5325,520.170291
"4",4,"MA","Suffolk","Boston","MAPC",0.129032258,0.870967742,0.317757009,0.682242991,1060624,123913,212233,5242.333496,34.788177,34.653713,39.019756,38.167286,902956.0618,1523.552447,1058605,123392,212233,5242.333496,34.761337,34.721634,39.45335,38.802525,783000.5954,1178.396286
"5",5,"MA","Suffolk","Boston","MAPC",0.072498502,0.927501498,0.332123412,0.667876588,1019564,117202,174744,4739.333496,31.422186,31.461901,26.200054,22.998863,0,70.436337,1018208,116909,174744,4739.333496,31.214087,31.358328,26.442324,23.37771,0,60.73768
"6",6,"MA","Suffolk","Boston","MAPC",0.079981291,0.920018709,0.28432108,0.71567892,1046031,121228,212233,5242.333496,29.752474,29.608822,28.417259,25.355946,237926.1631,566.239174,1045128,120842,212233,5242.333496,29.520937,29.471395,28.71055,25.738363,177232.1066,474.703174
"7",7,"MA","Suffolk","Boston","MAPC",0.107954545,0.892045455,0.196629213,0.803370787,944944,107630,163031,2101.5,37.890461,37.540413,33.212673,30.698135,1610242.044,2515.852986,944616,107495,163031,2101.5,37.784336,37.484802,33.512779,31.048986,1530303.142,1981.065859
"8",8,"MA","Suffolk","Boston","MAPC",0.102072141,0.897927859,0.287001287,0.712998713,996155,114061,174744,4455.833496,33.035633,33.1078,27.611366,24.776787,0,0.160064,992929,113320,174744,4455.833496,32.868515,33.020924,27.890226,25.069386,0,0.108091
"9",9,"MA","Suffolk","Boston","MAPC",0.081060606,0.918939394,0.196969697,0.803030303,972798,111307,174744,4455.833496,33.417171,33.076775,27.240593,24.559523,0,28.433002,972108,111090,174744,4455.833496,33.2384,32.971878,27.503908,24.862398,0,27.575829
"10",10,"MA","Suffolk","Boston","MAPC",0.079562044,0.920437956,0.347428571,0.652571429,1020097,116833,205318,5242.333496,32.925667,32.404167,32.362793,30.08709,246128.4198,454.36731,1016350,116045,205318,5242.333496,32.782738,32.304886,32.687534,30.415644,219371.3981,414.795792
