,TAZ_ID,pct_CO_sqmi,pct_CongVMT,pct_Retl60Trn,pct_Jobs60Trn,pct_HEdu40Trn,pct_Heal40Trn,pct_HwyAttrTm,pct_TrnAttrTm,pct_HwyProdTm,pct_TrnProdTm,pop_pct_min,pop_pct_non_min,pop_pct_low,pop_pct_non_low
1,1,-5.759054405,-4.522510132,-0.630484074,-0.317864697,0,0,0.300335981,-0.703865171,0.497481317,-0.703300631,0.810178817,0.189821183,0,1
2,2,-15.50338778,-3.76504075,-0.696202532,-0.558278528,0,0,1.055109704,-0.359118388,1.134414043,-0.423767955,0.5,0.5,0,1
3,3,-9.127068949,-4.615521213,-1.347680651,-0.55068487,0,0,0.920400891,-0.243213995,0.990174649,-0.310614199,0.298136646,0.701863354,0.333333333,0.666666667
4,4,-22.65469506,-13.28475122,-0.420456288,-0.190359637,0,0,1.664354652,0.195999199,1.111216585,-0.077152649,0.129032258,0.870967742,0.317757009,0.682242991
5,5,-13.76939434,NA,-0.249995734,-0.132998027,0,0,1.647242301,-0.329201341,0.924692751,-0.662267737,0.072498502,0.927501498,0.332123412,0.667876588
6,6,-16.16560708,-25.50961849,-0.318408289,-0.086326313,0,0,1.508194567,-0.464142072,1.032087577,-0.778210914,0.079981291,0.920018709,0.28432108,0.71567892
7,7,-21.25669226,-4.964402855,-0.125429713,-0.034711052,0,0,1.142906564,-0.148136356,0.90358882,-0.280083686,0.107954545,0.892045455,0.196629213,0.803370787
8,8,-32.47013695,NA,-0.649652379,-0.323845185,0,0,1.180940047,-0.262403422,1.009946411,-0.505871947,0.102072141,0.897927859,0.287001287,0.712998713
9,9,-3.014711567,NA,-0.194956292,-0.070929422,0,0,1.233228349,-0.317131885,0.966627268,-0.534967487,0.081060606,0.918939394,0.196969697,0.803030303
10,10,-8.709147232,-10.871163,-0.674466974,-0.36731801,0,0,1.092009895,-0.306383435,1.003439351,-0.43409599,0.079562044,0.920437956,0.347428571,0.652571429
11,11,-10.74034556,-9.080236821,-0.628464191,-0.626864416,0,0,0.959061194,-0.053117761,0.999176949,-0.123914181,0.127228027,0.872771973,0.336944745,0.663055255
12,12,-17.14119274,-12.93983362,-0.331513975,-0.163728471,0,0,0.847869639,-0.252512409,0.785739384,-0.328784939,0.038194444,0.961805556,0.329341317,0.670658683
13,13,-2.372736394,-8.152044161,-0.576634551,-0.600994863,0,0,0.504569231,0.220682626,1.180048451,0.167045574,0.097207859,0.902792141,0.334983498,0.665016502
