TAZ_ID,Town,Population,Households
1,Boston,727,0
2,Boston,1234,668
3,Boston,1423,886
4,Boston,906,526
5,Boston,2170,1337
6,Boston,2608,1609
7,Boston,884,428
8,Boston,1697,933
9,Boston,1758,951
10,Boston,1845,1053
11,Boston,2197,1145
12,Boston,467,201
13,Boston,1285,728
14,Boston,627,296
15,Boston,0,0
16,Boston,0,0
17,Boston,592,256
18,Boston,378,179
19,Boston,2738,1521
20,Boston,254,76
21,Boston,4843,3119
22,Boston,0,0
23,Boston,15,4
24,Boston,605,225
25,Boston,2665,1455
26,Boston,2169,1125
27,Boston,3254,1949
28,Boston,2819,1528
29,Boston,94,0
30,Boston,1511,795
31,Boston,349,129
32,Boston,1699,800
33,Boston,216,84
34,Boston,1142,395
35,Boston,0,0
36,Boston,445,95
37,Boston,261,97
38,Boston,0,0
39,Boston,749,195
40,Boston,43,10
41,Boston,4,2
42,Boston,811,412
43,Boston,0,0
44,Boston,0,0
45,Boston,12,3
46,Boston,85,28
47,Boston,653,288
48,Boston,108,35
49,Boston,0,0
50,Boston,617,306
51,Boston,100,35
52,Boston,1160,451
53,Boston,0,0
54,Boston,0,0
55,Boston,41,4
56,Boston,0,0
57,Boston,0,0
58,Boston,0,0
59,Boston,0,0
60,Boston,0,0
61,Boston,620,286
62,Boston,2550,1032
63,Boston,102,0
64,Boston,198,32
65,Boston,155,57
66,Boston,371,177
67,Boston,0,0
68,Boston,0,0
69,Boston,985,384
70,Boston,743,368
71,Boston,0,0
72,Boston,466,168
73,Boston,473,215
74,Boston,2800,707
75,Boston,2200,1309
76,Boston,1196,621
77,Boston,2071,1101
78,Boston,1528,860
79,Boston,318,161
80,Boston,6,0
81,Boston,708,294
82,Boston,1502,645
83,Boston,3638,1656
84,Boston,2284,1272
85,Boston,2719,1554
86,Boston,2698,1352
87,Boston,831,474
88,Boston,682,310
89,Boston,964,122
90,Boston,233,100
91,Boston,543,218
92,Boston,2595,1477
93,Boston,368,139
94,Boston,896,392
95,Boston,409,183
96,Boston,0,0
97,Boston,51,14
98,Boston,0,0
99,Boston,0,0
100,Boston,0,0
101,Boston,628,276
102,Boston,1480,890
103,Boston,1428,830
104,Boston,450,250
105,Boston,1401,794
106,Boston,1741,1020
107,Boston,3988,2463
108,Boston,424,2
109,Boston,1529,813
110,Boston,2779,1293
111,Boston,1303,732
112,Boston,2796,1638
113,Boston,1095,592
114,Boston,4472,2133
115,Boston,2639,1562
116,Boston,3128,1797
117,Boston,1862,926
118,Boston,988,522
119,Boston,2565,1378
120,Boston,2549,1265
121,Boston,2183,1072
122,Boston,2927,1498
123,Boston,3159,1352
124,Boston,3228,1533
125,Boston,1452,771
126,Boston,487,185
127,Boston,1524,856
128,Boston,1365,808
129,Boston,340,2
130,Boston,0,0
131,Boston,3541,0
132,Boston,0,0
133,Boston,2577,1238
134,Boston,3045,1269
135,Boston,2531,1388
136,Boston,1972,986
